,timestamp,open,high,low,close,predictions,actual,trades,capital,equity
0,1707969600000,2801.39,2802.33,2783.6,2796.37,1.0,0,0.0,500000.0,500000.0
1,1707973200000,2796.36,2797.0,2759.25,2771.07,1.0,1,0.0,500000.0,500000.0
2,1707976800000,2771.07,2782.56,2768.66,2777.77,1.0,1,0.0,500000.0,500000.0
3,1707980400000,2777.77,2785.18,2761.32,2772.33,1.0,1,0.0,500000.0,500000.0
4,1707984000000,2772.32,2784.8,2768.34,2781.13,1.0,1,0.0,500000.0,500000.0
5,1707987600000,2781.13,2794.35,2779.62,2789.86,1.0,1,0.0,500000.0,500000.0
6,1707991200000,2789.87,2801.97,2786.67,2799.8,1.0,1,0.0,500000.0,500000.0
7,1707994800000,2799.81,2801.6,2784.09,2793.21,1.0,1,0.0,500000.0,500000.0
8,1707998400000,2793.22,2803.87,2775.91,2797.49,1.0,1,0.0,500000.0,500000.0
9,1708002000000,2797.48,2814.89,2790.0,2810.52,1.0,2,0.0,500000.0,500000.0
10,1708005600000,2810.52,2857.8,2799.54,2852.59,1.0,1,0.0,500000.0,500000.0
11,1708009200000,2852.59,2867.65,2813.21,2826.27,1.0,0,0.0,500000.0,500000.0
12,1708012800000,2826.27,2841.44,2802.49,2829.61,1.0,1,0.0,500000.0,500000.0
13,1708016400000,2829.61,2836.58,2813.63,2814.99,1.0,1,0.0,500000.0,500000.0
14,1708020000000,2814.99,2831.99,2808.28,2824.58,1.0,1,0.0,500000.0,500000.0
15,1708023600000,2824.58,2838.59,2810.27,2834.13,1.0,1,0.0,500000.0,500000.0
16,1708027200000,2834.13,2842.5,2814.02,2828.59,1.0,0,0.0,500000.0,500000.0
17,1708030800000,2828.59,2845.59,2786.2,2794.05,1.0,1,0.0,500000.0,500000.0
18,1708034400000,2794.05,2821.73,2791.82,2813.41,1.0,1,0.0,500000.0,500000.0
19,1708038000000,2813.42,2825.0,2810.51,2822.59,1.0,1,0.0,500000.0,500000.0
20,1708041600000,2822.58,2842.59,2820.35,2838.12,1.0,1,0.0,500000.0,500000.0
21,1708045200000,2838.12,2857.4,2836.78,2842.79,1.0,1,0.0,500000.0,500000.0
22,1708048800000,2842.79,2849.76,2836.16,2846.96,1.0,1,0.0,500000.0,500000.0
23,1708052400000,2846.97,2856.55,2840.0,2846.18,1.0,1,0.0,500000.0,500000.0
24,1708056000000,2846.18,2851.05,2835.8,2838.05,1.0,1,0.0,500000.0,500000.0
25,1708059600000,2838.04,2847.24,2835.61,2842.0,1.0,1,0.0,500000.0,500000.0
26,1708063200000,2842.0,2852.4,2830.22,2833.0,1.0,0,0.0,500000.0,500000.0
27,1708066800000,2833.0,2835.3,2811.75,2815.05,1.0,1,0.0,500000.0,500000.0
28,1708070400000,2815.05,2827.19,2813.18,2816.1,1.0,0,0.0,500000.0,500000.0
29,1708074000000,2816.1,2817.11,2794.31,2809.37,1.0,1,0.0,500000.0,500000.0
30,1708077600000,2809.38,2828.04,2804.74,2827.89,1.0,1,0.0,500000.0,500000.0
31,1708081200000,2827.88,2835.4,2819.18,2823.59,1.0,1,0.0,500000.0,500000.0
32,1708084800000,2823.6,2847.22,2818.81,2844.2,1.0,1,0.0,500000.0,500000.0
33,1708088400000,2844.21,2847.17,2825.05,2840.16,1.0,0,0.0,500000.0,500000.0
34,1708092000000,2840.15,2843.96,2783.09,2797.6,1.0,0,0.0,500000.0,500000.0
35,1708095600000,2797.59,2797.6,2740.0,2776.01,1.0,1,0.0,500000.0,500000.0
36,1708099200000,2776.01,2807.39,2772.6,2785.22,1.0,1,0.0,500000.0,500000.0
37,1708102800000,2785.21,2791.13,2766.03,2777.4,1.0,1,0.0,500000.0,500000.0
38,1708106400000,2777.39,2782.51,2765.0,2781.11,1.0,1,0.0,500000.0,500000.0
39,1708110000000,2781.11,2785.45,2756.75,2762.91,1.0,1,0.0,500000.0,500000.0
40,1708113600000,2762.92,2781.74,2758.45,2781.65,1.0,1,0.0,500000.0,500000.0
41,1708117200000,2781.65,2792.21,2774.63,2790.68,1.0,1,0.0,500000.0,500000.0
42,1708120800000,2790.69,2790.92,2785.0,2789.04,1.0,1,0.0,500000.0,500000.0
43,1708124400000,2789.03,2810.0,2786.83,2801.8,1.0,1,0.0,500000.0,500000.0
44,1708128000000,2801.81,2804.21,2795.91,2796.15,1.0,0,0.0,500000.0,500000.0
45,1708131600000,2796.15,2797.36,2777.64,2786.73,1.0,1,0.0,500000.0,500000.0
46,1708135200000,2786.72,2794.46,2785.55,2788.8,1.0,1,0.0,500000.0,500000.0
47,1708138800000,2788.79,2794.38,2785.45,2793.4,1.0,1,0.0,500000.0,500000.0
48,1708142400000,2793.39,2796.6,2788.46,2793.32,1.0,1,0.0,500000.0,500000.0
49,1708146000000,2793.32,2794.8,2778.99,2785.15,1.0,1,0.0,500000.0,500000.0
50,1708149600000,2785.15,2790.0,2783.0,2787.09,1.0,1,0.0,500000.0,500000.0
51,1708153200000,2787.09,2798.51,2786.0,2795.57,1.0,0,0.0,500000.0,500000.0
52,1708156800000,2795.56,2795.57,2772.0,2774.99,1.0,1,0.0,500000.0,500000.0
53,1708160400000,2774.99,2780.0,2768.06,2775.37,1.0,1,0.0,500000.0,500000.0
54,1708164000000,2775.38,2780.17,2765.22,2780.0,1.0,1,0.0,500000.0,500000.0
55,1708167600000,2780.01,2785.37,2778.2,2780.57,1.0,1,0.0,500000.0,500000.0
56,1708171200000,2780.58,2786.96,2773.44,2782.98,1.0,0,0.0,500000.0,500000.0
57,1708174800000,2782.99,2783.2,2741.69,2743.6,1.0,0,0.0,500000.0,500000.0
58,1708178400000,2743.6,2754.73,2719.01,2739.99,1.0,1,0.0,500000.0,500000.0
59,1708182000000,2739.99,2756.78,2731.01,2754.33,1.0,1,0.0,500000.0,500000.0
60,1708185600000,2754.33,2758.57,2742.73,2755.32,1.0,1,0.0,500000.0,500000.0
61,1708189200000,2755.33,2771.43,2755.32,2768.48,1.0,1,0.0,500000.0,500000.0
62,1708192800000,2768.48,2771.88,2765.09,2769.31,1.0,1,0.0,500000.0,500000.0
