date,open,high,low,close,volume,base_asset_volume,no_trades,taker_buy_vol,taker_buy_base_asset_vol
16/03/2024,3742.19,3781.12,3412.0,3520.46,1636980.4356,5872355259.655391,5426681,791392.5314,2840379604.7722487
19/03/2024,3520.47,3587.32,3056.56,3492.85,2859707.7209,9545643999.332031,7427327,1371236.2416,4580101247.775444
22/03/2024,3492.84,3542.52,3250.0,3454.98,1143348.9736,3860583093.6516895,3968421,564920.1985,1908316662.051458
25/03/2024,3454.99,3678.86,3420.12,3501.19,1490786.8623,5322288412.81447,4420414,742513.2721,2649386208.147364
28/03/2024,3501.2,3611.78,3445.91,3505.64,943765.4735,3334804337.233322,2860346,473359.1482,1673148264.757627
31/03/2024,3505.65,3655.32,3212.0,3278.96,1275583.7578,4383837839.441119,3419468,625712.47,2152074558.547582
03/04/2024,3278.96,3443.93,3202.79,3317.85,1111379.5632,3679038389.9021106,2933478,545995.2811,1807972550.2152033
06/04/2024,3317.85,3730.71,3306.68,3694.61,890612.6409,3115096200.531446,2631893,473069.7761,1657455526.248455
09/04/2024,3694.61,3727.34,3411.82,3502.52,1185136.7109,4202666141.628912,2852543,579034.9769,2053082452.4502351
12/04/2024,3502.52,3552.4,2852.0,3155.11,2429878.8194,7638802093.391937,5141898,1164390.1635,3658957705.74688
15/04/2024,3155.11,3277.85,2914.47,2985.41,1623442.3074,5004854337.761916,4350957,796866.7497,2456338100.1886554
18/04/2024,2985.41,3171.88,2865.18,3155.79,1239488.7523,3770824326.523946,3446273,637493.8185,1940279367.092538
21/04/2024,3155.79,3263.61,3116.49,3219.46,764764.6904,2437744678.89164,2605732,397536.9367,1267519261.497695
24/04/2024,3219.46,3293.56,3072.2,3131.3,998125.5466,3158812716.92285,2620082,503601.5655,1593575271.685873
27/04/2024,3131.3,3357.4,3066.74,3216.73,1050408.4921,3379279374.0929313,2430984,542958.3743,1746754231.93678
30/04/2024,3216.74,3250.95,2817.0,2986.19,1552620.983,4622510798.203939,3538079,771665.0453,2296396638.657434
03/05/2024,2986.19,3171.93,2958.32,3136.41,770850.0541,2378850822.06932,2035261,402768.8923,1243081661.22695
06/05/2024,3136.4,3221.4,2936.48,2974.21,920866.7981,2829027753.900284,2519081,445930.408,1370537958.583978
09/05/2024,2974.2,3059.0,2878.03,2912.45,704580.7307,2090344757.134484,2043544,345890.2111,1026829882.518134
12/05/2024,2912.45,2996.4,2862.0,2881.93,746010.7008,2182237411.500407,1910852,368621.754,1078891719.134892
15/05/2024,2881.93,3120.0,2863.75,3092.01,1001853.2432,3001144227.24888,2090362,495706.1147,1485210386.324296
