open_time,open,high,low,close,close_time,base_asset_volume,no_trades,taker_buy_vol,taker_buy_base_asset_vol
2281.87,2717.32,2100.0,2283.14,13221129.0566,1706745599999,31577150232.70652,28361091,6608353.4088,15782981852.470509
2283.15,3522.81,2240.0,3340.09,12127707.2989,1709251199999,34441511339.19657,31930992,6176225.1173,17531109325.49758
3645.29,3730.71,2852.0,3014.05,12887073.7799,1714521599999,41602938918.238525,33003254,6405665.094,20684889972.99348
3014.04,3977.0,2817.0,3762.29,11599042.9138,1717199999999,39246648007.608635,28898638,5800966.4782,19638048315.831818
3762.29,3887.47,3240.0,3438.16,7615636.878,1719791999999,27083081007.6742,19031107,3794880.2178,13494965189.495256
3438.16,3562.82,2810.0,3232.74,8935241.1295,1722470399999,28990644945.25025,39654267,4445236.6229,14448548381.170437
3232.74,3242.57,2111.0,2513.01,12527905.13,1725148799999,32364460322.185944,54129242,6119494.3951,15801840484.224567
2513.0,2728.6,2150.55,2602.23,7928515.7252,1727740799999,19409673248.204353,57284368,3865687.8695,9471968082.307585
2602.24,2769.48,2310.0,2518.61,8867194.2538,1730419199999,22501037941.278526,80253370,4398474.1677,11167042480.581463
2518.61,3738.98,2357.59,3703.6,18365244.9426,1733011199999,57945320909.65492,170140762,9291331.5646,29353577880.97196
