date,open,high,low,close,volume,base_asset_volume,no_trades,taker_buy_vol,taker_buy_base_asset_vol
02/01/2022,3765.54,3900.73,3680.0,3785.11,679295.8398,2576501671.20918,1721802,343147.5637,1302099241.281545
05/01/2022,3785.1,3848.0,3064.42,3199.24,1564319.5038,5313109665.787793,3276540,763597.7283,2591285077.133186
08/01/2022,3198.68,3250.0,2928.83,3082.68,1206384.657,3733851167.465208,2341280,593417.3344,1837504655.66759
11/01/2022,3082.87,3411.43,3051.8,3240.61,1069147.3901,3488184888.783806,2072643,538415.5737,1757077103.719993
14/01/2022,3240.61,3393.6,3188.0,3346.88,699208.956,2308716846.25357,1511927,341824.3016,1129077965.991884
17/01/2022,3346.89,3357.57,3000.0,3084.02,916194.4979,2900959310.78728,1873286,452988.7735,1434371228.015003
20/01/2022,3084.02,3273.37,2300.0,2412.18,2460975.95537,6605488162.692484,4436675,1198162.77737,3220107089.715435
23/01/2022,2412.18,2556.78,2159.0,2458.83,2213785.41919,5261579657.246167,3848910,1118010.59468,2660219869.498213
26/01/2022,2459.04,2722.0,2316.43,2544.99,1891073.14529,4690885278.208772,3298430,957885.29879,2376097708.4506674
29/01/2022,2544.99,2706.77,2476.07,2686.94,1112021.7615,2876253587.9275446,2035492,570472.1387,1476651233.846535
01/02/2022,2686.94,2813.0,2576.05,2695.46,1242929.78952,3360024436.547796,2336219,632949.30382,1711137547.68466
04/02/2022,2695.21,3074.56,2671.4,3054.99,1270200.8365,3713676232.032331,2487993,648127.9494,1895194098.080456
07/02/2022,3055.0,3269.7,2991.8,3243.94,1340111.7279,4184701738.602599,2547820,695052.1049,2171943665.4526434
10/02/2022,3243.6,3283.66,2858.3,2918.88,1376489.0265,4225486339.8568354,2560455,684777.3885,2104660080.759931
13/02/2022,2918.58,3196.19,2829.01,3183.52,1073501.3467,3193921880.583506,1848317,552726.3083,1646532807.470238
16/02/2022,3183.53,3186.77,2750.0,2779.48,1311668.2937,3894819192.0098705,2216458,638786.6572,1896064244.0322008
19/02/2022,2779.3,2830.96,2558.0,2568.02,1442061.8923,3865515058.559491,2206922,697325.6234,1870005134.09365
22/02/2022,2568.03,2753.55,2300.0,2596.2,2592842.4107,6552892413.880636,3661434,1306636.897,3303579211.6208434
25/02/2022,2596.26,2878.0,2557.98,2616.79,1748078.2076,4746044213.216892,3032881,895007.0493,2430762094.7950687
03/03/2022,2947.31,2970.97,2573.0,2665.15,1271101.2977,3491090686.803607,2237413,620722.8457,1704718201.165842
06/03/2022,2665.16,2676.29,2445.0,2575.97,1518319.3307,3895707528.4298553,2211311,752456.813,1930582906.7774992
09/03/2022,2575.98,2775.85,2522.57,2556.86,1616385.3348,4266310338.3334074,2265414,809647.1922,2137927328.37545
12/03/2022,2556.86,2616.79,2493.0,2589.41,922808.9224,2370389091.546164,1380596,464959.2011,1194824981.42709
15/03/2022,2589.42,2836.0,2507.0,2811.92,1506739.5641,4040234861.930604,2339853,766143.3025,2055589046.4323769
18/03/2022,2811.91,2987.7,2765.59,2861.38,1260116.1578,3641328641.325153,2003007,650215.0155,1879337758.474302
21/03/2022,2861.39,3052.85,2829.81,3036.0,1469055.621,4348753024.068212,2424370,754432.4795,2233683645.945194
24/03/2022,3035.99,3193.28,2999.11,3145.0,1273405.9281,3947572253.0454354,2002910,647411.1618,2007343227.378389
27/03/2022,3145.01,3481.87,3126.02,3400.51,1328604.3504,4428817837.762026,2494071,683373.0089,2276549786.844461
30/03/2022,3400.51,3481.29,3210.68,3455.21,1343343.0018,4512863244.703355,2328658,667179.6667,2242065924.7905393
02/04/2022,3455.2,3580.34,3405.97,3519.5,1331459.2169,4639849644.385391,2194220,666866.9882,2324276919.830052
05/04/2022,3519.5,3555.0,3143.15,3227.19,1592235.1756,5264957550.4433,2479339,772299.2249,2553852088.2663207
08/04/2022,3227.2,3314.02,3173.52,3203.04,947169.994,3074564286.418492,1636717,473544.8613,1537791839.661972
11/04/2022,3203.04,3213.63,2950.0,3118.28,1692018.7357,5163661260.320898,2335374,841042.8068,2566106419.023256
14/04/2022,3118.28,3145.0,2976.3,3059.3,834361.2718,2541638865.303036,1226535,414032.3299,1261464448.514516
17/04/2022,3059.3,3131.0,2883.22,3101.77,1113398.7314,3356788601.606329,1614641,556867.1924,1679968147.306641
20/04/2022,3101.74,3180.0,2930.35,2962.39,1430132.8475,4371894461.0279,1895035,704263.7383,2154929232.935808
23/04/2022,2962.39,3025.65,2797.01,3006.62,1025732.1162,2987115552.419095,1507383,500611.9439,1458311704.790665
26/04/2022,3006.63,3039.54,2767.0,2936.93,1557528.5898,4513264421.507397,2182386,779135.1536,2258417447.190592
29/04/2022,2936.92,2946.46,2709.26,2824.81,1336280.2731,3762910552.371881,1795020,655423.1832,1845947354.613714
02/05/2022,2824.81,2965.85,2755.19,2940.64,1441776.1031,4095271533.4054737,1858557,743091.9693,2111275564.798874
05/05/2022,2940.65,2954.65,2584.75,2635.34,1817566.096,4961484484.812433,2253834,878953.2398,2399464302.506426
08/05/2022,2635.35,2642.0,2200.0,2342.05,3883166.4595,9306871233.858114,4477935,1925001.0013,4613682624.309764
11/05/2022,2342.04,2451.37,1800.0,2009.69,5462100.08512,11446420377.886051,7164249,2723915.53926,5712508248.234175
14/05/2022,2009.69,2167.0,1951.21,2023.66,1900257.4196,3876291182.910893,2517788,951974.349,1942194158.432685
17/05/2022,2023.66,2122.42,1903.18,2019.55,1941303.2583,3899148399.8434896,2570369,977435.6594,1963428871.584994
