date,open,high,low,close,volume,base_asset_volume,no_trades,taker_buy_vol,taker_buy_base_asset_vol
3/02/2020,188.48,195.19,186.62,189.69,417175.9578,79336312.52,181726,213868.7141,40681548.25
4/02/2020,189.74,191.6,184.69,188.91,366389.6969,68720832.62,173353,174776.2419,32795529.65
5/02/2020,188.91,207.61,188.19,203.78,550942.1142,108659358.5,241415,291264.2478,57410798.32
6/02/2020,203.78,216.33,201.02,213.19,608240.2233,127874220.8,276196,302771.0268,63669109.12
7/02/2020,213.16,225,213.14,223.33,629361.1547,138524804.2,268274,313125.9063,68898379.28
8/02/2020,223.36,227.75,213.22,223.05,548551.8747,122069507.7,257281,277426.2621,61749990.22
9/02/2020,223.01,230.65,222.86,228.49,350336.244,79674647,183735,172523.0226,39249445.4
10/02/2020,228.53,229.4,216.37,222.89,510415.4995,113385289,232617,255575.4501,56800747.21
11/02/2020,222.89,239.15,218.17,236.69,595576.9028,135863928.6,250241,309901.3087,70710866.23
12/02/2020,236.69,275.34,236.69,265.74,1038073.748,266734296.6,415316,521382.1208,133916108
13/02/2020,265.74,277.69,256.08,268.32,1089679.154,291533156.1,422008,539389.5974,144330540.7
14/02/2020,268.34,287.15,260.28,285.15,734944.3227,201120424.6,309022,380703.7855,104184138.4
15/02/2020,285.11,288.41,261.86,264.88,860813.1427,236287101.1,348934,419793.2113,115254803.5
16/02/2020,264.91,274,237.41,258.85,1110118.464,286269166.3,416082,526993.0617,135974874.8
17/02/2020,258.89,268.77,242,267.85,1110371.391,280371301.8,417529,542125.2121,136867563.5
18/02/2020,267.9,285.88,258,282.61,1115523.44,304162263.3,431799,550241.0207,150109585.7
19/02/2020,282.64,285,251.56,258.45,705973.7299,191887955.8,298048,343303.1069,93329064.51
20/02/2020,258.44,264.33,245.34,256.96,972969.7169,249383114,373551,494884.3186,126895480.4
21/02/2020,256.97,268.24,253.61,265.27,525827.8734,137848242.4,214306,269791.1374,70748990.2
22/02/2020,265.32,266.81,256,261.57,313062.5213,81781388.32,136810,156822.3507,40974857.94
23/02/2020,261.55,275.68,261.02,274.48,444740.8288,120024059,178464,225478.6873,60845374.2
24/02/2020,274.5,277.2,257.09,265.52,696591.7298,185949182.7,263161,330793.9283,88287487.19
25/02/2020,265.47,266.22,244.44,246.67,774791.0103,197442911.5,277457,381947.3885,97346482.23
26/02/2020,246.67,250.32,215.66,223.93,1395879.415,324229460.6,454355,656347.5584,152612432.4
27/02/2020,223.98,238.3,210,227.79,1273793.117,287322727.3,415969,627806.9584,141632481.7
28/02/2020,227.73,234.67,214.01,226.76,1054994.924,236064804.3,347125,510185.3375,114271376
29/02/2020,226.76,233,217,217.21,546866.6851,123635801,211771,276266.1287,62479741.18
1/03/2020,217.29,227.89,212.36,217.81,715016.0194,157064953.8,265577,360047.1133,79085739.01
2/03/2020,217.81,234.4,216.07,231.97,810051.4833,182948651.7,258680,402597.5223,90992396.72
3/03/2020,232.1,232.46,219.57,223.91,741498.5483,168090325.5,253103,370933.3696,84105282.7
4/03/2020,223.84,228.85,220.23,224.26,443780.3377,99650220.54,167247,218963.3365,49186332.77
5/03/2020,224.26,234.09,224.23,228.38,601479.8759,138081898.3,227242,297495.3532,68301116.79
6/03/2020,228.38,245.16,227.33,244.88,628147.3257,148563741.8,234091,328731.5656,77799831.6
7/03/2020,244.93,251.93,236,237.23,633748.8966,154037325.6,238113,311459.9408,75736818.1
8/03/2020,237.23,237.23,195.5,199.43,1278973.537,277970187.9,412787,591086.616,128602756.9
9/03/2020,199.43,208.62,190,202.81,1661331.836,332570408.5,473504,822023.1862,164639631.8
10/03/2020,202.79,206.2,195.54,200.7,1020260.107,205536190.2,332398,501745.9077,101099251.5
11/03/2020,200.74,203.18,181.73,194.61,1079824.902,208232375.2,344156,539239.2922,104024026.9
12/03/2020,194.61,195.55,101.2,107.82,3814533.14,548668262.2,937284,1810764.232,260692153.2
13/03/2020,107.67,139.68,86,134.06,4663239.929,560710331.8,1199923,2314458.37,278488986
14/03/2020,134.06,134.68,120,122.54,1237674.886,159192895.6,398146,628481.8664,80877487.99
15/03/2020,122.54,133.5,120.16,123.78,1312950.901,163436235.3,346579,669525.6824,83359166.35
16/03/2020,123.82,124.33,101.1,111.02,2442064.144,270353891.8,663277,1191735.454,131882551.3
17/03/2020,111.02,120.8,109.38,115.67,1295108.485,150800664.1,378258,654284.3578,76179202.04
18/03/2020,115.67,118.5,109.86,118.11,1201850.313,137550912.1,346312,604214.4602,69185743.99
19/03/2020,118.11,143.13,115.46,136.3,1801071.188,231626928.2,489147,904222.9053,116437845.4
20/03/2020,136.3,152.55,116.74,133.48,2504057.638,345856006.7,707216,1240999.352,171579646.8
21/03/2020,133.49,137.49,125.69,132.66,1231842.111,162468451.8,401288,607735.2281,80144362.79
22/03/2020,132.63,137.13,121.1,122.32,1055699.865,135927941.1,337273,533153.2033,68650481.22
23/03/2020,122.31,137.5,119.5,135.92,1436796.124,184851609.1,416820,738648.1025,95088118.67
24/03/2020,135.89,143.36,132.2,138.42,1244377.163,171156363.7,381573,627879.3244,86383070.31
25/03/2020,138.42,142.33,132.54,136.1,1034248.744,141795323,317580,512056.5642,70208230
26/03/2020,136.11,139.74,133.26,138.4,751060.631,101918769.7,248508,380709.1569,51679665.34
27/03/2020,138.4,141.27,129.68,131.33,706948.5456,96581886.88,224835,340830.6197,46615645.76
28/03/2020,131.33,132.97,124.88,130.98,896032.1059,115166652,274768,441256.5,56744425.27
29/03/2020,130.94,131.84,123.81,124.5,543997,69434202.21,182914,248597.9814,31762471.02
